Number	Datei	Textsorte	Jahr	Kontext_links	Keyword	Kontext_rechts	Lemma
415832	241.xml	KT	14. Jh.	  richen dumere rede geben sal waz aber minre sachen zu dune ist in deme clostere nutzeliche des habbe ockert der 	altfrauwen	' rath als da gescriben ist '' Alle dinc du mit rate dar na inberuwet iz dich nit '' NA Von'	Altfrau
419048	241.xml	KT	14. Jh.	  in einer stat slafen ob iz wesen mach Ist aber die menige groz so slafen zegene oder zwenczig bit etlichen 	altfrauwen	 die obir sie sorge haben In deme slafhuse sal eine kyrce burnen biz an den morgen Gecleidet sollen sie slafen	Altfrau
419126	241.xml	KT	14. Jh.	  zu godes werke mit ernste und mit gudekeide Die junge sustere inhaben kein bette by einandere danne undermenget mit den 	altfrauwen	 und alse sie offstent zu godes werke ein ieclich mane die andere und wecke sie von dem slaffe NA Von	Altfrau
419172	241.xml	KT	14. Jh.	  werde ober ungehorsam ober stoltz oder murmellene oder in keinen dingen wederwurdich wesende regele die heilge unde die geboth der 	altfrauwen	 versmet die sal gemanet werden al na godes gebothe eines und aber geswegliche von den altfrauwen Inwilt du iz nit	Altfrau
419188	241.xml	KT	14. Jh.	  unde die geboth der altfrauwen versmet die sal gemanet werden al na godes gebothe eines und aber geswegliche von den 	altfrauwen	 Inwilt du iz nit beszeren so sal iz berufen werden offenbare vor in allen und abe sie sich noch dan	Altfrau
424839	241.xml	KT	14. Jh.	  geste da insint so lade irre sustere dar wilche sie willet und iedoch besorget daz den susteren zu lazene der 	altfrawen	 eine oder zwo durch die zucht zu hudene NA Von den die da sunderlich werk dunt Sint ein werkwib in	Altfrau
31910	115.xml	CB	1557	  Bulgarin BORIS vnd CHLEB het er noch im hohen Schloß dreyhundert in Bielograd gleichermassen dreyhundert in Berostow vnd Selwi zwaihundert 	beyschlaffweiber	 Als nun Volodimer on maͤniglichs verhinderung ain ainiger Herr der Reissen gewest ist seind von vil orten Potschafften zu jme	Beischlafweib
31817	115.xml	CB	1557	  ermordten Brueders weib die ain Khriechin was zu seinem wollust gebraucht welche auch Jaropolkh ehe dann er sy geelicht ain 	Closterfraw	 geschwaͤngert hette Diser Volodimer hat vil abgoͤtter zu Khiow eingesetzt dem Obristen ain Silbrens haubt auff einen hültzen Pottich machen	Klosterfrau
390105	235.xml	UN	1556	  der kirchen und ob dem Hortulus Anime sass sie gantz gedeicht taͤglich ir siben zeit betten als wann sie ein 	closterfraw	 gewesen Ob aber sollichs aus eim guͦten grundt geschehen sey oder aus einem spiegelfechten vor der welt ist mir verborgen	Klosterfrau
344716	227.xml	EB	1678	  holdseeligen Knaͤbleins wie auch in Gestalt deß gecreutzigten JESU ist dises H Wunderbarliche Sacrament zu mehrmahlen etlichen Gottseeligen vnd Geistlichen 	Closterfrawen	 sowol als andern beiderley Geschlechts Persohnen erschinen wie R P Benedictus Gononus lib 1 Historiæ evcharisticæ c anzeiget vnd auch	Klosterfrau
421184	241.xml	KT	14. Jh.	  gewonheide In allen disen dingen sal die ebdissen sorge han daz die sichen noch von der kelnersen noch von den 	dinstfrauwen	 nit versumet inwerden wanne waz da missedan wirt daz geit allez wider zu ir wert Dye vil alde frauwen und	Dienstfrau
348420	227.xml	EB	1678	  frey redend vnd GOtt lobend nacher Haus gereiset Carolus Stengelius in vita S Symperti germanicé edita Anno Von einer stummen 	Edelfrawen	 welche nach versproch-- vnd vollbrachtem Geluͤbd wiederumb redend worden JM Land deß heiligen Egidy das ist wie Marcus Velserus V	Edelfrau
280911	215.xml	EB	1578	  schyn der erschynung der goͤtteren sunst waͤre jnen der sin̅ nit so bald daran kommen Es waͤre auch die güt 	eerenfrauw	 der sach nit so wol zuͦ friden gsyn wo das nit mit vilen eerenwyberen vorhin gebrucht waͤre worden Jr Eeman̅	Ehrenfrau
280295	215.xml	EB	1578	  zwillen werden Der jung mann was der sach traͤffenlich wol zuͦ friden Als nun die kupplerin erfuͦr daß die guͦt 	eerenfrouw	 mit keinem guͦt noch gaͤlt zuͦ gwünnen darnaͤbend aber wußt daß sy der Goͤttinen Jsidi gantz ergaͤben was erdacht sy	Ehrenfrau
280925	215.xml	EB	1578	  kommen Es waͤre auch die güt eerenfrauw der sach nit so wol zuͦ friden gsyn wo das nit mit vilen 	eerenwyberen	 vorhin gebrucht waͤre worden Jr Eeman̅ hett sy auch nit lassen gon Was habend die goͤtter der betten in der	Ehrenweib
499784	255.xml	CB	1599	  vnnd die zeit vber mit Koͤnig Hulderiche̅ die er bey jrem Herrn gewesen heimlich Zugehalten nachgefolgt die nam er zum 	Eheweibe	 vn̅ danckete also seine̅ Vaͤter fuͤr seine Wolthat gar vbel Anno Christi Jst vber Franckreich Koͤnig worden Cleodonius Koͤnigs Hudalrici	Eheweib
153657	137.xml	CB	1668	  und Prælat im Feld zusammen und sagte jener zu diesem Herr von S Gallen wie hat " es unser liebe 	Frau	 je um S Gallen verdient " daß ihr ihr solchen schaden zufuͤgen " helfen Worauf der Abt geantwortet " Herr	Frau
